200 5023
14 94 266
14 95 332
14 97 22
14 98 190
14 99 385
14 103 74
14 106 49
14 108 241
14 110 374
14 121 256
14 129 118
14 131 28
14 134 258
14 136 373
14 138 394
14 144 321
14 147 319
14 152 86
14 153 76
14 154 84
14 155 375
14 157 356
14 159 235
14 160 303
14 168 103
14 174 324
14 175 117
14 176 280
14 177 13
14 181 253
14 182 371
14 185 23
14 187 18
14 188 163
14 191 28
14 193 320
14 194 176
14 195 237
14 197 193
15 16 191
15 17 311
15 22 295
15 23 398
15 24 332
15 25 88
15 31 307
15 34 236
15 36 382
15 44 88
15 46 218
15 48 374
15 53 23
15 55 93
15 56 198
15 61 327
15 68 359
15 73 28
15 76 278
15 86 180
15 92 222
15 93 204
15 106 340
15 107 166
15 112 149
15 113 144
15 121 199
15 122 268
15 123 27
15 124 384
15 129 342
15 132 315
15 137 97
15 138 86
15 139 374
15 141 65
15 145 194
15 146 80
15 147 202
15 150 304
15 155 27
15 164 208
15 165 6
15 170 381
15 177 324
15 178 187
15 183 165
15 185 145
15 187 114
15 194 331
15 198 139
16 17 54
16 20 127
16 21 110
16 25 96
16 28 59
16 32 299
16 36 303
16 41 219
16 42 305
16 43 282
16 53 301
16 62 271
16 69 5
16 71 98
16 73 17
16 74 217
16 84 278
16 86 388
16 92 37
16 93 366
16 97 127
16 106 108
16 109 1
16 119 170
16 122 197
16 123 148
16 124 377
16 129 354
16 132 40
16 135 389
16 137 144
16 139 139
16 140 45
16 149 154
16 153 331
16 157 52
16 159 47
16 160 162
16 162 327
16 163 54
16 174 210
16 179 359
16 186 253
16 187 283
16 189 268
16 190 387
16 193 320
16 194 293
16 195 98
17 18 359
17 19 383
17 24 385
17 31 337
17 34 9
17 36 396
17 39 378
17 45 220
17 49 365
17 55 288
17 56 276
17 59 89
17 60 307
17 62 362
17 66 145
17 69 77
17 72 334
17 79 20
17 83 50
17 85 164
17 88 243
17 91 182
17 92 136
17 100 325
17 106 272
17 117 148
17 123 226
17 125 24
17 128 78
17 130 162
17 131 6
17 136 323
17 139 211
17 147 74
17 149 309
17 153 344
17 154 259
17 155 382
17 157 350
17 165 243
17 180 162
17 183 308
17 188 343
17 192 345
17 194 196
17 200 127
18 20 201
18 25 386
18 28 92
18 31 57
18 37 109
18 38 364
18 39 141
18 47 246
18 50 306
18 55 51
18 59 245
18 64 208
18 70 251
18 75 230
18 78 362
18 81 283
18 95 387
18 96 325
18 103 335
18 115 22
18 119 87
18 121 230
18 123 28
18 125 267
18 126 183
18 134 49
18 142 171
18 147 6
18 149 394
18 150 258
18 156 280
18 159 190
18 160 253
18 166 366
18 169 26
18 170 23
18 172 60
18 173 255
18 190 219
19 24 212
19 25 51
19 28 381
19 30 51
19 31 227
19 33 337
19 43 118
19 46 157
19 55 4
19 56 120
19 60 320
19 61 275
19 64 265
19 67 328
19 68 194
19 71 30
19 75 123
19 81 330
19 85 265
19 88 262
19 90 170
19 91 241
19 97 229
19 107 269
19 110 124
19 118 208
19 129 100
19 130 9
19 132 323
19 153 273
19 155 107
19 156 71
19 157 209
19 173 47
19 175 175
19 182 220
19 188 321
19 191 159
19 198 136
20 22 18
20 26 284
20 27 155
20 28 203
20 35 81
20 36 1
20 39 9
20 45 60
20 57 7
20 62 56
20 68 332
20 72 110
20 74 120
20 77 322
20 80 244
20 82 214
20 87 355
20 88 232
20 90 256
20 96 278
20 101 23
20 105 157
20 106 86
20 107 88
20 111 77
20 113 64
20 115 55
20 117 46
20 122 340
20 129 221
20 137 266
20 146 370
20 147 372
20 165 66
20 167 106
20 171 93
20 174 225
20 175 133
20 177 15
20 191 379
20 193 364
20 194 171
21 27 172
21 30 273
21 35 202
21 42 244
21 46 190
21 48 3
21 50 343
21 51 299
21 54 44
21 62 29
21 73 189
21 82 145
21 86 281
21 95 169
21 98 278
21 100 72
21 101 325
21 103 115
21 104 361
21 110 213
21 115 353
21 117 376
21 120 15
21 123 365
21 124 357
21 128 344
21 131 400
21 132 270
21 139 140
21 141 40
21 142 291
21 144 163
21 145 376
21 146 2
21 147 384
21 151 280
21 153 157
21 154 355
21 159 176
21 160 347
21 168 206
21 170 246
21 174 327
21 182 290
21 185 153
21 192 364
21 198 198
21 200 31
22 24 131
22 26 293
22 27 261
22 32 209
22 33 256
22 39 253
22 40 306
22 42 119
22 49 357
22 52 148
22 54 329
22 58 397
22 62 12
22 64 140
22 65 156
22 69 390
22 72 394
22 73 266
22 77 396
22 83 245
22 86 280
22 89 242
22 90 89
22 94 218
22 98 224
22 100 300
22 101 222
22 105 251
22 107 33
22 108 221
22 111 101
22 113 358
22 117 226
22 127 116
22 131 125
22 134 270
22 135 180
22 136 86
22 140 205
22 142 142
22 144 270
22 147 112
22 158 65
22 160 343
22 166 172
22 169 389
22 177 274
22 180 136
22 181 183
22 183 374
22 184 119
22 185 299
22 190 37
22 196 389
22 198 234
22 200 127
23 24 5
23 25 22
23 26 320
23 28 175
23 37 231
23 38 17
23 41 321
23 47 251
23 51 325
23 62 207
23 65 260
23 67 73
23 69 145
23 70 39
23 76 296
23 77 198
23 83 150
23 86 239
23 90 255
23 95 381
23 96 53
23 98 42
23 99 152
23 100 244
23 101 129
23 107 229
23 111 180
23 112 250
23 115 305
23 117 31
23 118 6
23 119 205
23 127 260
23 130 67
23 131 149
23 144 82
23 147 197
23 148 100
23 151 270
23 152 379
23 155 315
23 162 331
23 165 250
23 173 86
23 175 197
23 176 93
23 177 280
23 181 151
23 182 63
23 185 349
23 189 27
23 191 297
23 195 355
23 196 301
23 199 193
23 200 340
24 25 283
24 29 300
24 37 374
24 38 297
24 39 356
24 47 28
24 51 15
24 54 36
24 62 294
24 63 362
24 65 270
24 68 288
24 70 353
24 73 35
24 75 285
24 76 233
24 85 1
24 86 4
24 93 177
24 96 359
24 97 63
24 101 333
24 105 258
24 106 264
24 109 4
24 112 11
24 119 14
24 123 66
24 124 8
24 128 186
24 129 139
24 132 27
24 135 164
24 144 285
24 145 244
24 149 40
24 152 62
24 154 113
24 160 270
24 163 169
24 164 283
24 167 388
24 169 43
24 171 292
24 177 43
24 186 311
24 188 212
24 193 106
24 194 391
25 29 360
25 40 131
25 41 251
25 45 123
25 54 260
25 59 66
25 77 47
25 79 92
25 86 164
25 93 244
25 95 42
25 99 249
25 100 393
25 109 115
25 111 168
25 116 133
25 125 40
25 128 225
25 139 326
25 144 221
25 146 161
25 147 290
25 159 106
25 166 18
25 169 365
25 175 378
25 179 335
25 186 99
25 191 276
25 192 282
25 194 173
25 195 398
25 200 191
26 30 153
26 33 344
26 37 67
26 44 187
26 46 388
26 50 30
26 55 281
26 58 268
26 64 56
26 79 46
26 90 169
26 92 112
26 99 189
26 102 352
26 103 34
26 105 88
26 107 154
26 112 122
26 114 20
26 126 29
26 128 314
26 131 324
26 132 114
26 140 344
26 149 277
26 153 85
26 158 392
26 160 15
26 162 378
26 163 239
26 169 280
26 182 132
26 183 19
26 184 197
26 185 158
26 187 172
26 194 323
26 197 184
26 198 242
26 199 164
26 200 350
27 30 105
27 33 368
27 35 273
27 37 380
27 42 116
27 45 197
27 51 349
27 56 56
27 66 360
27 67 294
27 69 133
27 81 346
27 83 219
27 104 218
27 111 164
27 112 164
27 119 189
27 120 243
27 121 292
27 122 355
27 123 36
27 129 70
27 130 81
27 133 174
27 134 60
27 142 190
27 144 130
27 146 278
27 147 286
27 148 110
27 151 148
27 153 381
27 155 275
27 157 342
27 161 62
27 163 194
27 165 159
27 175 183
27 176 4
27 177 314
27 181 305
27 183 12
27 185 326
27 190 204
27 194 161
27 196 374
27 197 317
27 198 224
27 199 106
28 30 356
28 34 259
28 46 250
28 52 119
28 54 249
28 57 25
28 66 377
28 72 313
28 75 118
28 77 79
28 86 324
28 91 140
28 94 287
28 96 228
28 101 389
28 102 79
28 107 107
28 108 95
28 112 23
28 115 67
28 119 40
28 122 290
28 127 358
28 131 216
28 132 131
28 137 250
28 142 212
28 149 13
28 161 215
28 163 72
28 164 99
28 167 263
28 168 53
28 170 364
28 176 100
28 177 127
28 182 386
28 183 160
28 184 144
28 192 123
28 196 40
28 197 276
28 199 110
29 30 380
29 32 123
29 33 229
29 35 328
29 37 162
29 42 305
29 46 86
29 48 171
29 53 167
29 69 341
29 76 64
29 77 318
29 87 172
29 100 79
29 108 226
29 110 395
29 111 304
29 120 43
29 123 189
29 126 273
29 132 396
29 136 179
29 138 380
29 139 297
29 147 332
29 153 244
29 155 59
29 160 390
29 163 181
29 166 379
29 168 243
29 170 87
29 173 111
29 177 85
29 183 17
29 187 235
29 188 306
29 190 262
29 192 73
29 193 104
29 196 315
29 199 150
30 39 275
30 43 123
30 58 257
30 60 376
30 66 304
30 67 102
30 71 132
30 76 224
30 80 242
30 85 201
30 98 213
30 100 394
30 104 276
30 107 333
30 110 120
30 113 316
30 114 224
30 124 116
30 126 25
30 127 276
30 134 176
30 135 87
30 136 120
30 137 105
30 139 190
30 143 363
30 145 227
30 146 232
30 152 156
30 160 19
30 162 13
30 163 96
30 171 240
30 181 159
30 189 282
30 191 217
30 194 84
30 195 379
30 198 55
31 35 120
31 43 114
31 44 220
31 45 221
31 47 87
31 49 42
31 56 81
31 57 132
31 65 257
31 70 175
31 72 167
31 73 321
31 79 203
31 83 97
31 89 127
31 95 260
31 99 343
31 100 379
31 105 346
31 107 78
31 110 317
31 118 324
31 120 85
31 126 93
31 135 270
31 136 383
31 139 330
31 141 304
31 142 134
31 145 87
31 147 330
31 157 233
31 159 14
31 166 107
31 178 91
31 179 366
31 183 388
31 187 141
31 189 22
31 194 256
32 40 65
32 60 17
32 62 41
32 68 266
32 71 257
32 79 103
32 81 229
32 96 8
32 98 91
32 105 138
32 107 150
32 109 8
32 110 242
32 117 264
32 122 205
32 123 219
32 124 307
32 130 209
32 131 156
32 132 379
32 134 297
32 135 135
32 148 96
32 156 381
32 158 108
32 159 177
32 161 396
32 168 71
32 175 91
32 177 66
32 183 336
32 186 302
32 189 235
32 191 347
32 197 326
32 198 352
33 36 86
33 51 60
33 52 250
33 55 395
33 58 280
33 59 54
33 60 349
33 68 377
33 69 74
33 70 340
33 75 33
33 87 36
33 102 177
33 106 197
33 107 297
33 116 348
33 117 282
33 119 224
33 124 143
33 125 218
33 128 67
33 132 360
33 134 346
33 149 371
33 150 363
33 152 378
33 158 345
33 161 336
33 165 211
33 166 90
33 168 264
33 172 303
33 173 293
33 175 287
33 180 321
33 182 316
33 184 80
33 188 92
33 193 220
33 194 362
33 198 92
34 40 383
34 41 370
34 43 291
34 45 13
34 47 231
34 51 118
34 52 69
34 60 130
34 62 104
34 64 304
34 68 2
34 69 371
34 72 172
34 80 374
34 81 388
34 82 56
34 83 313
34 84 175
34 88 75
34 93 172
34 96 224
34 97 58
34 100 25
34 101 287
34 102 92
34 104 356
34 111 400
34 114 111
34 115 212
34 127 233
34 128 337
34 132 116
34 140 398
34 141 229
34 145 262
34 147 256
34 152 164
34 158 104
34 165 199
34 166 225
34 168 394
34 172 271
34 174 293
34 179 166
34 188 120
35 37 92
35 43 57
35 50 203
35 52 177
35 55 120
35 61 359
35 64 315
35 69 118
35 70 378
35 75 306
35 81 225
35 83 162
35 84 119
35 85 148
35 92 352
35 95 10
35 98 246
35 101 118
35 102 188
35 104 242
35 106 229
35 120 223
35 121 57
35 130 336
35 132 58
35 133 310
35 138 103
35 148 91
35 149 88
35 151 258
35 156 267
35 159 255
35 161 373
35 170 353
35 172 364
35 173 373
35 175 215
35 187 294
35 188 287
35 189 97
35 190 378
35 191 82
35 192 148
35 196 144
35 199 91
36 37 393
36 39 20
36 41 391
36 42 338
36 46 205
36 55 397
36 57 313
36 62 248
36 67 168
36 70 114
36 72 389
36 73 346
36 81 97
36 82 166
36 85 371
36 88 311
36 90 142
36 92 154
36 95 125
36 99 368
36 103 157
36 112 342
36 113 93
36 118 114
36 132 150
36 135 258
36 136 346
36 145 78
36 157 189
36 158 390
36 162 205
36 165 123
36 168 193
36 169 67
36 174 348
36 175 209
36 176 209
36 179 148
36 183 72
36 185 348
36 186 300
36 200 55
37 41 133
37 44 249
37 50 216
37 52 160
37 61 258
37 64 316
37 73 4
37 74 359
37 75 172
37 77 307
37 78 8
37 79 394
37 83 215
37 86 16
37 87 66
37 89 51
37 91 74
37 96 217
37 102 202
37 108 221
37 121 341
37 123 155
37 129 128
37 131 330
37 142 110
37 143 328
37 145 26
37 152 395
37 164 25
37 165 75
37 168 192
37 171 286
37 172 177
37 175 160
37 179 332
37 182 57
37 185 383
37 190 133
37 192 146
37 195 123
37 196 182
37 198 374
38 52 382
38 55 371
38 56 272
38 57 98
38 64 359
38 65 388
38 72 335
38 76 124
38 82 221
38 90 326
38 97 209
38 101 342
38 103 396
38 107 38
38 120 383
38 121 34
38 126 149
38 127 27
38 128 126
38 130 40
38 136 108
38 138 116
38 139 169
38 140 351
38 142 341
38 144 384
38 148 143
38 150 262
38 159 158
38 164 397
38 166 7
38 169 382
38 178 230
38 180 326
38 181 190
38 187 367
38 197 375
39 40 357
39 49 247
39 57 383
39 62 341
39 67 203
39 69 363
39 72 286
39 74 68
39 75 356
39 76 44
39 79 11
39 84 255
39 92 184
39 97 168
39 98 79
39 101 19
39 103 258
39 104 299
39 105 219
39 112 196
39 113 355
39 114 378
39 116 47
39 118 284
39 122 48
39 124 389
39 125 378
39 128 283
39 136 35
39 137 223
39 138 46
39 142 39
39 143 163
39 151 372
39 152 150
39 153 152
39 160 110
39 176 86
39 179 124
39 180 382
39 186 1
39 191 113
40 41 92
40 42 186
40 46 92
40 47 94
40 48 89
40 51 47
40 52 89
40 53 25
40 54 345
40 55 279
40 57 306
40 68 373
40 71 205
40 76 220
40 80 297
40 87 284
40 89 69
40 90 195
40 102 137
40 103 283
40 105 186
40 106 286
40 116 104
40 117 201
40 119 327
40 124 177
40 125 390
40 129 64
40 130 160
40 132 175
40 133 294
40 136 385
40 139 293
40 140 392
40 144 178
40 147 96
40 149 164
40 150 188
40 153 374
40 156 204
40 164 63
40 166 310
40 176 272
40 181 399
40 186 78
40 188 288
40 189 327
40 191 394
40 194 189
40 196 184
40 198 141
41 44 234
41 47 105
41 49 315
41 50 162
41 54 146
41 56 46
41 57 9
41 58 398
41 65 304
41 67 2
41 74 380
41 81 186
41 82 121
41 84 323
41 86 114
41 91 386
41 93 357
41 99 86
41 101 135
41 109 219
41 111 387
41 113 178
41 120 260
41 131 266
41 132 24
41 135 287
41 136 212
41 139 119
41 142 333
41 143 264
41 144 205
41 147 32
41 152 241
41 157 212
41 159 14
41 165 320
41 166 95
41 167 284
41 170 198
41 172 194
41 175 378
41 183 231
41 184 30
41 185 121
41 187 324
41 189 352
41 193 76
41 195 108
41 196 274
41 200 365
42 49 199
42 55 127
42 56 335
42 57 245
42 58 320
42 59 137
42 62 200
42 70 241
42 71 127
42 74 59
42 77 60
42 79 110
42 86 190
42 95 290
42 104 400
42 105 377
42 112 271
42 126 251
42 128 367
42 134 400
42 136 216
42 142 68
42 143 311
42 155 246
42 158 77
42 160 260
42 166 54
42 167 177
42 170 165
42 177 396
42 182 172
42 189 332
42 191 4
42 192 248
42 193 22
42 196 327
42 197 297
42 199 55
43 48 340
43 58 280
43 62 289
43 66 48
43 70 309
43 84 50
43 89 259
43 95 51
43 96 307
43 105 177
43 107 357
43 111 219
43 117 250
43 121 89
43 131 134
43 134 286
43 141 12
43 143 154
43 147 69
43 148 130
43 150 179
43 152 395
43 153 10
43 159 296
43 163 72
43 165 253
43 179 171
43 184 398
43 187 22
43 190 195
43 192 189
43 200 39
44 47 352
44 49 125
44 50 133
44 58 98
44 63 290
44 64 258
44 74 358
44 75 52
44 76 114
44 78 151
44 82 74
44 86 200
44 88 333
44 89 256
44 97 21
44 98 144
44 108 207
44 109 215
44 115 346
44 117 309
44 118 346
44 130 44
44 134 256
44 140 247
44 142 268
44 146 171
44 149 258
44 150 241
44 154 113
44 160 69
44 163 300
44 165 171
44 169 48
44 170 215
44 171 84
44 173 117
44 185 384
44 193 251
44 194 86
44 200 372
45 60 37
45 66 331
45 69 149
45 70 207
45 74 310
45 77 143
45 79 107
45 84 196
45 85 196
45 94 388
45 96 294
45 101 324
45 105 94
45 107 209
45 108 146
45 110 387
45 112 227
45 115 354
45 118 119
45 120 93
45 125 31
45 127 293
45 133 205
45 135 232
45 150 326
45 155 180
45 158 384
45 159 220
45 171 76
45 175 305
45 178 65
45 183 83
45 184 382
45 185 398
45 194 180
45 197 107
46 50 390
46 53 325
46 57 371
46 64 71
46 67 205
46 70 19
46 73 94
46 81 8
46 85 314
46 90 313
46 91 233
46 93 261
46 95 367
46 96 199
46 99 215
46 106 58
46 107 367
46 109 278
46 110 383
46 116 354
46 118 322
46 119 47
46 120 342
46 131 157
46 132 349
46 136 342
46 137 105
46 138 138
46 143 396
46 144 116
46 145 4
46 147 98
46 151 13
46 154 348
46 155 16
46 166 78
46 168 226
46 179 74
46 180 140
46 182 244
46 183 96
46 191 269
46 196 11
46 197 158
47 48 220
47 49 208
47 53 14
47 54 297
47 56 381
47 67 217
47 71 205
47 73 320
47 74 120
47 75 376
47 81 344
47 87 26
47 97 365
47 98 144
47 101 363
47 103 239
47 106 124
47 121 343
47 122 11
47 144 15
47 145 119
47 147 294
47 148 252
47 155 295
47 157 1
47 158 359
47 163 170
47 175 370
47 179 376
47 188 343
47 189 323
47 192 36
47 194 387
48 56 36
48 57 242
48 58 244
48 63 244
48 64 91
48 77 75
48 84 309
48 85 28
48 90 52
48 98 235
48 104 97
48 115 333
48 117 144
48 123 314
48 124 220
48 126 299
48 129 106
48 130 269
48 131 40
48 139 161
48 143 2
48 155 276
48 156 319
48 158 4
48 160 29
48 166 286
48 171 8
48 174 134
48 176 238
48 182 224
48 184 188
48 194 142
48 198 83
48 199 123
49 52 64
49 54 74
49 66 270
49 76 181
49 77 120
49 78 320
49 81 393
49 87 278
49 91 328
49 96 333
49 103 372
49 111 103
49 117 77
49 118 156
49 126 165
49 127 51
49 136 313
49 137 303
49 144 80
49 150 388
49 152 19
49 157 121
49 163 134
49 168 233
49 171 251
49 180 244
49 182 294
49 183 188
49 184 118
49 187 158
49 188 340
49 192 107
49 198 285
50 58 86
50 62 28
50 63 363
50 76 210
50 81 36
50 82 147
50 85 199
50 86 339
50 97 155
50 101 101
50 103 3
50 108 112
50 111 195
50 112 346
50 113 56
50 120 153
50 125 11
50 139 227
50 142 316
50 152 5
50 157 89
50 160 26
50 168 355
50 173 215
50 180 94
50 181 242
50 183 68
50 189 198
50 192 66
50 193 267
50 194 185
50 195 80
50 198 4
51 53 279
51 55 202
51 65 66
51 67 108
51 68 315
51 72 151
51 75 350
51 77 152
51 81 390
51 82 162
51 88 193
51 91 39
51 92 32
51 96 357
51 98 311
51 99 3
51 100 126
51 110 283
51 118 176
51 126 146
51 129 86
51 131 390
51 137 50
51 138 344
51 142 397
51 144 290
51 149 1
51 153 8
51 160 132
51 166 211
51 177 226
51 179 78
51 186 7
51 189 305
51 190 21
51 191 347
51 192 46
51 196 38
51 198 7
52 54 125
52 56 234
52 57 396
52 61 398
52 65 26
52 71 172
52 77 204
52 81 23
52 93 181
52 94 148
52 98 221
52 107 297
52 112 353
52 114 386
52 126 265
52 127 386
52 134 16
52 137 261
52 143 186
52 147 195
52 155 51
52 158 324
52 167 257
52 169 284
52 179 21
52 183 115
52 184 261
52 187 309
52 200 352
53 67 157
53 68 185
53 72 205
53 73 357
53 82 330
53 86 155
53 91 323
53 97 313
53 104 18
53 105 364
53 106 71
53 107 235
53 111 252
53 114 127
53 116 333
53 118 23
53 121 294
53 125 65
53 129 95
53 134 111
53 154 372
53 167 65
53 169 37
53 170 54
53 176 336
53 182 171
53 185 376
53 188 108
53 193 149
53 196 159
53 197 325
53 198 336
54 67 118
54 71 216
54 74 398
54 75 183
54 78 312
